,coords,value,2d,3d
0,"(0.5, 0.5)",0.2617621899059025,0.5,0.5
1,"(0.5, 0.579)",0.2660393498716852,0.5,0.579
2,"(0.5, 0.658)",0.26518391787852863,0.5,0.658
3,"(0.5, 0.737)",0.2643284858853721,0.5,0.737
4,"(0.5, 0.816)",0.2617621899059025,0.5,0.816
5,"(0.5, 0.895)",0.2617621899059025,0.5,0.895
6,"(0.5, 0.974)",0.2600513259195894,0.5,0.974
7,"(0.5, 1.0)",0.2600513259195894,0.5,1.0
8,"(0.5, 1.053)",0.2583404619332763,0.5,1.053
9,"(0.5, 1.132)",0.25748502994011974,0.5,1.132
10,"(0.5, 1.211)",0.2583404619332763,0.5,1.211
11,"(0.5, 1.289)",0.2583404619332763,0.5,1.289
12,"(0.5, 1.368)",0.25748502994011974,0.5,1.368
13,"(0.5, 1.447)",0.25748502994011974,0.5,1.447
14,"(0.5, 1.5)",0.25748502994011974,0.5,1.5
15,"(0.5, 1.526)",0.2583404619332763,0.5,1.526
16,"(0.5, 1.605)",0.2583404619332763,0.5,1.605
17,"(0.5, 1.684)",0.2583404619332763,0.5,1.684
18,"(0.5, 1.763)",0.2583404619332763,0.5,1.763
19,"(0.5, 1.842)",0.25748502994011974,0.5,1.842
20,"(0.5, 1.921)",0.25748502994011974,0.5,1.921
21,"(0.5, 2.0)",0.25748502994011974,0.5,2.0
22,"(0.579, 0.5)",0.24893071000855432,0.579,0.5
23,"(0.579, 0.579)",0.2617621899059025,0.579,0.579
24,"(0.579, 0.658)",0.26518391787852863,0.579,0.658
25,"(0.579, 0.737)",0.26518391787852863,0.579,0.737
26,"(0.579, 0.816)",0.2634730538922156,0.579,0.816
27,"(0.579, 0.895)",0.2609067579127459,0.579,0.895
28,"(0.579, 0.974)",0.2609067579127459,0.579,0.974
29,"(0.579, 1.0)",0.25919589392643283,0.579,1.0
30,"(0.579, 1.053)",0.2600513259195894,0.579,1.053
31,"(0.579, 1.132)",0.25748502994011974,0.579,1.132
32,"(0.579, 1.211)",0.25919589392643283,0.579,1.211
33,"(0.579, 1.289)",0.2583404619332763,0.579,1.289
34,"(0.579, 1.368)",0.25748502994011974,0.579,1.368
35,"(0.579, 1.447)",0.25748502994011974,0.579,1.447
36,"(0.579, 1.5)",0.25748502994011974,0.579,1.5
37,"(0.579, 1.526)",0.25748502994011974,0.579,1.526
38,"(0.579, 1.605)",0.2583404619332763,0.579,1.605
39,"(0.579, 1.684)",0.2583404619332763,0.579,1.684
40,"(0.579, 1.763)",0.2583404619332763,0.579,1.763
41,"(0.579, 1.842)",0.2583404619332763,0.579,1.842
42,"(0.579, 1.921)",0.25748502994011974,0.579,1.921
43,"(0.579, 2.0)",0.25748502994011974,0.579,2.0
44,"(0.658, 0.5)",0.24208725406330198,0.658,0.5
45,"(0.658, 0.579)",0.24893071000855432,0.658,0.579
46,"(0.658, 0.658)",0.262617621899059,0.658,0.658
47,"(0.658, 0.737)",0.2634730538922156,0.658,0.737
